Date,Open,High,Low,Close,Adj Close,Volume
2005-04-25,20.180000,20.615000,20.180000,20.485001,14.988865,529200
2005-04-26,20.555000,20.650000,19.855000,19.865000,14.535215,770600
2005-04-27,19.740000,19.740000,19.045000,19.370001,14.173025,920400
2005-04-28,19.350000,19.355000,18.764999,18.875000,13.810828,1071400
2005-04-29,19.049999,19.200001,18.305000,18.865000,13.803518,1242400
2005-05-02,18.850000,18.969999,18.750000,18.955000,13.869373,765400
2005-05-03,18.955000,19.230000,18.840000,19.135000,14.001072,648000
2005-05-04,19.125000,19.719999,18.969999,19.680000,14.399847,498600
2005-05-05,19.650000,19.865000,19.309999,19.475000,14.249848,649000
2005-05-06,19.575001,19.799999,19.455000,19.655001,14.381557,399800
2005-05-09,19.500000,19.750000,19.240000,19.695000,14.410827,354600
2005-05-10,19.434999,19.695000,18.770000,18.834999,13.781554,827200
2005-05-11,18.834999,18.995001,18.540001,18.834999,13.814561,710200
2005-05-12,18.760000,18.764999,17.815001,17.975000,13.183804,752200
2005-05-13,18.020000,18.219999,17.295000,17.520000,12.850080,687000
2005-05-16,17.500000,18.035000,17.400000,17.990000,13.194802,483400
2005-05-17,17.924999,18.379999,17.760000,18.309999,13.429506,465400
2005-05-18,18.424999,20.145000,18.424999,20.055000,14.709384,1477000
2005-05-19,20.125000,20.125000,19.555000,19.934999,14.621363,1030200
2005-05-20,19.799999,19.950001,19.455000,19.459999,14.272976,526200
2005-05-23,19.485001,19.825001,19.455000,19.625000,14.393994,814000
2005-05-24,19.575001,19.575001,19.145000,19.254999,14.122614,535600
2005-05-25,18.750000,19.325001,18.510000,19.235001,14.107950,1092600
2005-05-26,19.334999,19.680000,19.125000,19.590000,14.368325,423600
2005-05-27,20.000000,20.174999,19.615000,19.635000,14.401334,594000
2005-05-31,19.375000,19.525000,19.245001,19.245001,14.115283,763600
2005-06-01,19.245001,19.590000,18.950001,19.424999,14.247303,649800
2005-06-02,19.424999,19.905001,19.184999,19.620001,14.390330,485000
2005-06-03,19.670000,20.010000,19.565001,19.655001,14.415998,462000
2005-06-06,19.719999,19.809999,19.434999,19.725000,14.467344,643800
2005-06-07,19.625000,19.870001,19.545000,19.754999,14.489344,433800
2005-06-08,19.754999,20.045000,19.705000,19.820000,14.537022,849800
2005-06-09,19.750000,19.750000,19.320000,19.665001,14.423329,360600
2005-06-10,19.665001,19.924999,19.334999,19.795000,14.518688,511000
2005-06-13,19.775000,20.075001,19.520000,20.000000,14.669036,532000
2005-06-14,20.000000,20.000000,19.655001,20.000000,14.669036,559200
2005-06-15,20.000000,20.145000,19.830000,20.129999,14.764386,719400
2005-06-16,20.059999,20.525000,20.055000,20.475000,15.017432,590000
2005-06-17,20.625000,20.770000,20.305000,20.475000,15.017432,414800
2005-06-20,20.250000,20.254999,19.840000,20.030001,14.691049,789600
2005-06-21,19.840000,19.850000,19.299999,19.750000,14.485678,670000
2005-06-22,19.850000,20.059999,19.650000,19.820000,14.537022,504800
2005-06-23,19.695000,19.695000,18.834999,18.920000,13.876916,627400
2005-06-24,18.750000,18.825001,18.400000,18.670000,13.693551,557600
2005-06-27,18.690001,18.875000,18.600000,18.775000,13.770565,346800
2005-06-28,19.035000,19.330000,18.950001,19.219999,14.096947,442600
2005-06-29,19.240000,19.410000,19.090000,19.170000,14.060284,160200
2005-06-30,19.174999,19.245001,18.480000,18.535000,13.594536,783600
2005-07-01,18.700001,19.055000,18.549999,18.760000,13.759562,180600
2005-07-05,18.885000,18.889999,18.549999,18.815001,13.799900,343600
2005-07-06,18.889999,19.170000,18.690001,18.900000,13.862241,480200
2005-07-07,18.225000,18.825001,18.225000,18.775000,13.770565,394200
2005-07-08,18.875000,19.400000,18.875000,19.299999,14.155622,507400
2005-07-11,19.290001,19.820000,19.290001,19.709999,14.456342,432200
2005-07-12,19.695000,19.924999,19.405001,19.700001,14.449007,381000
2005-07-13,19.700001,19.825001,19.370001,19.709999,14.456342,216400
2005-07-14,20.000000,20.025000,19.254999,19.400000,14.228970,322400
2005-07-15,19.355000,19.480000,19.200001,19.360001,14.199631,275400
2005-07-18,19.365000,19.594999,19.190001,19.270000,14.133616,415400
2005-07-19,19.290001,20.010000,19.235001,19.950001,14.632376,457000
2005-07-20,19.850000,20.575001,19.850000,20.475000,15.017432,597400
2005-07-21,21.500000,22.120001,21.375000,22.055000,16.176281,1633600
2005-07-22,22.025000,22.795000,22.025000,22.764999,16.697029,819800
2005-07-25,22.995001,23.480000,22.639999,22.799999,16.722710,930400
2005-07-26,22.700001,23.365000,22.459999,23.270000,17.067427,794000
2005-07-27,23.299999,23.500000,22.799999,23.025000,16.887733,871200
2005-07-28,23.000000,23.375000,22.924999,23.365000,17.137112,902600
2005-07-29,23.325001,23.475000,23.190001,23.360001,17.133440,695600
2005-08-01,23.360001,23.674999,23.225000,23.504999,17.239782,711200
2005-08-02,23.750000,24.125000,23.665001,23.879999,17.514839,504800
2005-08-03,23.870001,24.115000,23.625000,24.004999,17.606516,518200
2005-08-04,24.004999,24.040001,23.700001,23.889999,17.522169,498800
2005-08-05,23.889999,24.025000,23.325001,23.549999,17.272791,694600
2005-08-08,23.549999,24.370001,23.549999,24.125000,17.694529,452600
2005-08-09,24.440001,24.580000,24.049999,24.400000,17.896223,584600
2005-08-10,24.625000,24.625000,23.995001,24.209999,17.793341,676600
2005-08-11,24.150000,24.809999,24.000000,24.639999,18.109369,423800
2005-08-12,24.660000,24.770000,24.129999,24.475000,17.988102,374400
2005-08-15,24.600000,24.915001,24.375000,24.670000,18.131413,399800
2005-08-16,24.719999,24.719999,24.174999,24.180000,17.771282,303200
2005-08-17,24.075001,24.594999,23.830000,23.955000,17.605915,372200
2005-08-18,23.645000,23.690001,23.299999,23.510000,17.278864,561400
2005-08-19,23.510000,24.040001,23.510000,23.620001,17.359713,392200
2005-08-22,23.790001,24.459999,23.790001,24.400000,17.932972,366600
2005-08-23,24.405001,24.405001,23.389999,23.754999,17.458929,512200
2005-08-24,23.500000,23.985001,23.325001,23.500000,17.271519,530000
2005-08-25,23.450001,23.969999,23.450001,23.950001,17.602251,354000
2005-08-26,23.900000,24.000000,23.430000,23.780001,17.477312,468400
2005-08-29,23.750000,24.200001,23.584999,23.850000,17.528751,476000
2005-08-30,23.825001,23.865000,23.580000,23.795000,17.488327,241800
2005-08-31,23.795000,24.049999,23.745001,24.000000,17.638994,473200
2005-09-01,24.125000,24.754999,23.990000,24.735001,18.179192,380000
2005-09-02,24.785000,24.844999,24.445000,24.500000,18.006475,226600
2005-09-06,24.355000,24.355000,23.559999,24.000000,17.638994,764400
2005-09-07,24.264999,24.424999,24.084999,24.270000,17.837440,616400
2005-09-08,24.235001,24.290001,23.860001,24.150000,17.749233,357400
2005-09-09,24.250000,24.709999,24.250000,24.670000,18.131413,330800
